# Date:     2025-09-16 18:17:56
# Database: ocvs
# Target:   lmc_cepheids
# Query:    TRUE 
# Objects:  4713
# Columns:
# ID	Mode	RA	Decl	I	V	V_I	P_1	dP_1	T0_1	A_1	R21_1	phi21_1	R31_1	phi31_1	ID_OGLE_II	ID_OGLE_III	ID_OGLE_IV	ID_OTHER	REMARKS
OGLE-LMC-CEP-1922	F	05:25:18.00	-69:49:37.6	14.440	15.201	0.761	5.9358965	0.0000095	6000.45338	0.504	0.365	4.672	0.126	2.708	LMC_SC4_53468	LMC162.6.61348	LMC516.25.78640	HV2514	
OGLE-LMC-CEP-1923	1	05:25:18.31	-70:45:35.6	14.791	15.457	0.666	2.9531006	0.0000126	6000.08892	0.259	0.047	3.874	0.039	5.784	-99.99	LMC164.5.47573	LMC502.09.5771	-99.99	
OGLE-LMC-CEP-1924	F	05:25:19.28	-69:27:05.2	16.083	16.718	0.635	1.8744945	0.0000013	6001.04008	0.655	0.511	4.242	0.368	2.386	LMC_SC4_105884	LMC161.8.113707	LMC503.08.66692	-99.99	
OGLE-LMC-CEP-1925	1	05:25:20.25	-70:15:09.4	15.747	16.439	0.692	1.6793702	0.0000046	6000.61191	0.153	0.156	4.710	0.040	4.139	LMC_SC4_65	LMC163.5.45543	LMC502.18.29085	-99.99	
OGLE-LMC-CEP-1926	F	05:25:21.10	-69:50:17.5	14.665	15.581	0.916	5.9760761	0.0000100	6005.75783	0.509	0.385	4.834	0.143	3.183	LMC_SC4_53514	LMC162.6.61428	LMC516.25.78610	HV2515	
OGLE-LMC-CEP-1927	F	05:25:21.40	-69:49:01.7	14.587	15.356	0.769	5.2258729	0.0000087	6000.12469	0.457	0.386	4.725	0.161	3.185	LMC_SC4_53552	LMC162.6.61429	LMC516.25.78656	-99.99	
OGLE-LMC-CEP-1928	1	05:25:22.35	-69:40:57.0	14.380	15.153	0.773	4.4888026	0.0000312	6003.28890	0.262	0.193	4.576	0.063	2.254	LMC_SC4_80546	LMC162.5.60876	LMC516.25.113830	-99.99	
OGLE-LMC-CEP-1929	F	05:25:22.98	-69:00:56.2	14.695	15.472	0.777	5.8320369	0.0000146	6003.17473	0.314	0.342	5.088	0.074	3.682	-99.99	LMC161.5.75823	LMC503.17.74503	HV12034	
OGLE-LMC-CEP-1930	F	05:25:23.43	-69:52:32.6	16.573	17.233	0.660	1.1591452	0.0000011	6000.02148	0.451	0.372	4.144	0.177	2.053	LMC_SC4_45203	LMC162.7.130983	LMC516.25.64463	-99.99	
OGLE-LMC-CEP-1931	1	05:25:23.68	-70:26:36.5	17.064	17.575	0.511	0.5081158	0.0000006	6000.21459	0.254	0.026	1.899	0.084	5.891	-99.99	LMC163.7.71620	LMC502.18.7824	-99.99	
OGLE-LMC-CEP-1932	F	05:25:24.11	-69:44:57.4	15.198	15.866	0.668	2.9466373	0.0000046	6002.76406	0.547	0.447	4.433	0.249	2.566	LMC_SC4_62567	LMC162.6.142933	LMC516.25.96410	HV956	
OGLE-LMC-CEP-1933	F	05:25:25.82	-68:23:51.1	14.079	14.895	0.816	9.3901678	0.0000450	6008.81436	0.591	0.241	4.848	0.078	0.608	-99.99	LMC160.4.22666	LMC517.25.15753	HV2510	
OGLE-LMC-CEP-1934	12	05:25:26.31	-69:49:49.9	16.663	17.529	0.866	1.2951207	0.0000028	6001.25527	0.198	0.168	4.314	0.032	2.240	LMC_SC4_53796	LMC162.6.62034	LMC516.25.78962	-99.99	
OGLE-LMC-CEP-1935	1	05:25:26.98	-70:20:53.2	15.053	-99.99	-99.99	2.2597878	0.0000202	6001.02927	0.219	0.136	4.613	0.000	-99.99	-99.99	LMC163.6.88955	LMC502.18.7365D	-99.99	
OGLE-LMC-CEP-1936	F	05:25:27.20	-69:49:29.4	14.442	15.284	0.842	6.4064782	0.0000156	6005.32494	0.350	0.354	5.135	0.077	3.709	LMC_SC4_53546	LMC162.6.61354	LMC516.25.78647	HV5825	
OGLE-LMC-CEP-1937	1	05:25:27.38	-69:29:43.2	16.338	16.983	0.645	1.0593207	0.0000015	6000.01859	0.190	0.184	4.046	0.033	1.683	LMC_SC4_105933	LMC161.8.52104	LMC503.08.66846	-99.99	
OGLE-LMC-CEP-1938	F	05:25:28.41	-70:11:58.8	15.059	15.806	0.747	4.0769487	0.0000080	6002.55099	0.398	0.409	4.732	0.182	3.226	LMC_SC4_6353	LMC163.5.107186	LMC516.16.56360	HV2518	
OGLE-LMC-CEP-1939	F	05:25:28.81	-69:54:44.5	14.591	15.441	0.850	6.0554175	0.0000264	6000.93950	0.524	0.412	4.892	0.146	3.133	LMC_SC4_44876	LMC162.7.130387	LMC516.25.64091	HV5826	
OGLE-LMC-CEP-1940	F	05:25:28.95	-69:50:03.1	15.034	16.483	1.449	9.3790453	0.0000985	6002.26870	0.195	0.130	1.083	0.043	0.234	LMC_SC4_53528	LMC162.6.61448	LMC516.25.78626	-99.99	
OGLE-LMC-CEP-1941	F	05:25:29.28	-69:55:12.5	14.580	15.521	0.941	6.8066629	0.0000422	6006.40990	0.234	0.260	5.200	0.022	4.568	LMC_SC4_36266	LMC162.7.52982	LMC516.16.97646	HV12037	
OGLE-LMC-CEP-1942	F	05:25:30.26	-69:52:15.6	14.152	14.948	0.796	7.1825200	0.0000206	6004.43844	0.433	0.342	5.388	0.197	3.731	LMC_SC4_44867	LMC162.7.130391	LMC516.25.64078	HV2517	
OGLE-LMC-CEP-1943	F	05:25:30.32	-69:50:13.4	15.032	16.128	1.096	5.5671262	0.0000133	6004.57724	0.458	0.377	4.815	0.136	3.290	LMC_SC4_53518	LMC162.6.61456	LMC516.25.78615	-99.99	
OGLE-LMC-CEP-1944	1	05:25:30.38	-68:50:20.9	15.794	16.490	0.696	1.5306890	0.0000039	6000.55911	0.154	0.144	4.442	0.000	-99.99	-99.99	LMC160.1.32702	LMC517.16.8250	-99.99	
OGLE-LMC-CEP-1945	F	05:25:31.44	-69:50:03.7	14.838	16.022	1.184	7.6852769	0.0000218	6004.64583	0.357	0.304	5.522	0.089	4.098	LMC_SC4_53527	LMC162.6.61462	LMC516.25.78624	-99.99	
OGLE-LMC-CEP-1946	F	05:25:31.70	-71:22:17.0	15.223	15.962	0.739	3.4742003	0.0000048	6001.19314	0.475	0.442	4.591	0.239	2.964	-99.99	LMC165.5.38047	LMC515.16.24217	HV12595	
OGLE-LMC-CEP-1947	F	05:25:32.52	-70:13:02.1	15.349	-99.99	-99.99	3.3744158	0.0000712	6001.88127	0.366	0.393	4.619	0.178	3.035	LMC_SC4_41	LMC163.5.45487	LMC516.16.671D	-99.99	
OGLE-LMC-CEP-1948	F	05:25:33.29	-69:29:44.4	14.949	15.678	0.729	3.9861805	0.0000057	6000.96665	0.439	0.387	4.619	0.175	2.991	LMC_SC4_105767	LMC161.8.51664	LMC503.08.66505	HV2516	
OGLE-LMC-CEP-1949	1	05:25:34.44	-69:50:08.3	14.394	15.349	0.955	5.3952373	0.0000128	6003.10674	0.343	0.277	4.732	0.118	2.918	LMC_SC4_53463	LMC162.6.61360	LMC516.25.78622	-99.99	
OGLE-LMC-CEP-1950	F	05:25:34.97	-68:50:19.5	14.785	15.757	0.972	6.6032229	0.0000222	6004.51172	0.341	0.298	5.112	0.067	3.598	-99.99	LMC160.1.32660	LMC517.16.8173	V1/NGC1953 HV12905	
OGLE-LMC-CEP-1951	1	05:25:35.36	-70:27:56.5	15.656	16.306	0.650	1.6312850	0.0000046	6000.73809	0.208	0.139	4.489	0.019	3.379	-99.99	LMC163.7.71455	LMC502.17.39340	-99.99	
OGLE-LMC-CEP-1952	F	05:25:35.38	-71:08:06.5	14.235	15.030	0.795	6.7821803	0.0000837	6000.81969	0.180	0.147	4.724	0.015	3.404	-99.99	LMC164.7.17092	LMC515.25.22429	HV2523	secondary period 4.477278 d
OGLE-LMC-CEP-1953	1	05:25:38.66	-70:39:52.0	14.476	15.248	0.772	4.1577480	0.0000289	6001.43505	0.261	0.190	4.586	0.068	2.139	-99.99	LMC163.8.23728	LMC502.08.41081	HV5831	
OGLE-LMC-CEP-1954	F	05:25:39.09	-71:06:39.8	13.723	14.667	0.944	12.9500482	0.0000839	6010.33802	0.611	0.179	5.127	0.116	2.093	-99.99	LMC164.7.17093	LMC515.25.22432	HV2527	
OGLE-LMC-CEP-1955	1	05:25:39.78	-70:01:32.8	15.672	16.426	0.754	1.8880517	0.0000108	6001.20090	0.075	0.050	4.879	0.000	-99.99	LMC_SC4_152290	LMC162.8.106240	LMC516.16.26672	-99.99	
OGLE-LMC-CEP-1956	F	05:25:40.60	-69:50:13.5	14.280	15.252	0.972	8.8015455	0.0000550	6002.46258	0.328	0.210	5.958	0.098	5.124	LMC_SC4_176266	LMC162.6.61367	LMC516.25.78563	-99.99	
OGLE-LMC-CEP-1957	F	05:25:41.16	-69:50:52.6	14.383	14.799	0.416	6.8141341	0.0000348	6006.72657	0.485	0.364	5.167	0.146	3.256	LMC_SC4_176354	LMC162.7.130399	LMC516.25.64297	HV2520	
OGLE-LMC-CEP-1958	1	05:25:41.35	-70:22:56.5	17.142	17.696	0.554	0.5323072	0.0000021	6000.15343	0.066	0.078	2.620	0.000	-99.99	-99.99	LMC163.6.35883	LMC502.17.47522	-99.99	
OGLE-LMC-CEP-1959	F	05:25:43.04	-69:07:00.4	15.543	16.470	0.927	3.6635247	0.0000038	6000.57510	0.572	0.448	4.392	0.241	2.557	-99.99	LMC161.3.47442	LMC503.17.63473	-99.99	
OGLE-LMC-CEP-1960	F	05:25:43.25	-71:39:15.4	15.287	16.013	0.726	3.4896326	0.0000055	6002.10777	0.481	0.466	4.603	0.252	2.977	-99.99	LMC165.7.33913	LMC501.18.3517	-99.99	
OGLE-LMC-CEP-1961	1	05:25:43.68	-68:51:35.7	15.650	16.289	0.639	1.8303700	0.0000039	6000.95322	0.275	0.130	4.695	0.026	4.406	-99.99	LMC160.1.32725	LMC517.16.8234	V2/NGC1953 HV12911	
OGLE-LMC-CEP-1962	1	05:25:43.94	-70:21:09.5	15.155	15.746	0.591	2.1519976	0.0000040	6000.56905	0.229	0.127	4.599	0.000	-99.99	-99.99	LMC163.6.88973	LMC502.17.57709	-99.99	
OGLE-LMC-CEP-1963	1	05:25:44.51	-69:49:46.6	14.613	15.261	0.648	2.9761016	0.0000073	6001.06327	0.169	0.058	4.334	0.014	4.758	LMC_SC4_176307	LMC162.3.64	LMC516.25.14304	-99.99	
OGLE-LMC-CEP-1964	F	05:25:45.42	-69:31:14.3	14.496	15.369	0.873	6.3107727	0.0000315	6000.74448	0.172	0.220	5.062	0.021	4.236	LMC_SC4_219811	LMC161.1.7	LMC503.08.66477	HV2521	
OGLE-LMC-CEP-1965	1	05:25:46.90	-67:48:31.6	16.919	17.677	0.758	0.8343107	0.0000023	6000.18023	0.192	0.171	3.613	0.095	1.463	-99.99	LMC159.4.255	LMC504.17.11500	-99.99	
OGLE-LMC-CEP-1966	12	05:25:52.40	-70:07:18.3	16.806	17.332	0.526	0.6465454	0.0000007	6000.17160	0.216	0.145	3.517	0.056	0.945	LMC_SC4_138485	LMC162.1.240	LMC516.16.12072	-99.99	
OGLE-LMC-CEP-1967	1	05:25:52.60	-70:05:30.3	15.091	15.677	0.586	2.1432226	0.0000083	6000.88834	0.078	0.044	4.609	0.000	-99.99	LMC_SC4_145322	LMC162.1.33	LMC516.16.11827	-99.99	
OGLE-LMC-CEP-1968	1	05:25:53.16	-69:53:10.6	14.895	15.658	0.763	3.0820227	0.0000089	6001.44091	0.188	0.052	4.052	0.000	-99.99	LMC_SC4_167981	LMC162.2.75383	LMC516.25.77	-99.99	
OGLE-LMC-CEP-1969	F	05:25:54.90	-69:54:51.3	14.974	15.729	0.755	4.6800318	0.0000313	6003.41862	0.429	0.341	4.771	0.131	3.226	LMC_SC4_167947	LMC162.2.75388	LMC516.25.36	-99.99	
OGLE-LMC-CEP-1970	F	05:25:55.33	-69:04:11.7	15.511	16.251	0.740	3.0192416	0.0000042	6001.35102	0.459	0.396	4.449	0.197	2.685	-99.99	LMC161.4.106	LMC503.17.63496	-99.99	
OGLE-LMC-CEP-1971	1	05:25:56.33	-70:09:00.7	15.456	16.155	0.699	2.0179253	0.0000066	6001.65978	0.188	0.122	5.035	0.000	-99.99	LMC_SC4_138319	-99.99	LMC516.16.78	LMV1776 HV5833	secondary period 1.257087 d
OGLE-LMC-CEP-1972	1	05:25:58.63	-70:09:49.1	14.626	15.280	0.654	3.1220962	0.0000100	6003.04854	0.236	0.050	4.224	0.021	5.797	LMC_SC4_131738	-99.99	LMC516.16.19	HV5834	
OGLE-LMC-CEP-1973	F	05:25:59.15	-69:54:49.0	13.796	14.735	0.939	12.3607958	0.0001452	6001.19578	0.458	0.038	3.767	0.145	1.132	LMC_SC4_167923	LMC162.2.75323	LMC516.25.8	HV958	
OGLE-LMC-CEP-1974	1	05:25:59.16	-69:49:14.2	16.058	16.696	0.638	1.1088656	0.0000090	6000.21770	0.107	0.141	3.764	0.000	-99.99	LMC_SC4_176400	LMC162.3.225	LMC516.25.14428	-99.99	
OGLE-LMC-CEP-1975	1	05:25:59.67	-70:47:14.0	16.485	17.158	0.673	1.0117663	0.0000014	6000.87811	0.178	0.183	3.867	0.060	1.662	-99.99	LMC164.5.47784	LMC502.08.28018	-99.99	
OGLE-LMC-CEP-1976	1	05:25:59.76	-69:39:36.2	14.795	15.440	0.645	2.8137083	0.0000397	6001.72525	0.216	0.019	2.426	0.012	-99.99	LMC_SC4_203564	LMC162.4.81	LMC516.25.50111	-99.99	
OGLE-LMC-CEP-1977	F	05:26:00.30	-70:36:48.9	16.049	16.691	0.642	1.6442105	0.0000012	6000.52215	0.519	0.445	4.108	0.267	1.937	-99.99	LMC163.1.37492	LMC502.08.41164	-99.99	
OGLE-LMC-CEP-1978	1	05:26:00.54	-69:53:33.5	14.897	15.644	0.747	3.1352330	0.0000142	6002.64168	0.198	0.048	3.254	0.045	5.860	LMC_SC4_167975	LMC162.2.75395	LMC516.25.68	-99.99	secondary period 1.914286 d
OGLE-LMC-CEP-1979	12	05:26:01.24	-69:30:41.6	16.708	17.319	0.611	0.7408537	0.0000010	6000.09153	0.254	0.232	3.590	0.110	1.580	LMC_SC4_220148	LMC161.1.420	LMC503.08.66773	-99.99	
OGLE-LMC-CEP-1980	12	05:26:02.05	-69:52:10.0	16.708	17.259	0.551	0.7292562	0.0000015	6000.34263	0.210	0.227	3.636	0.116	1.461	LMC_SC4_168269	LMC162.2.75820	LMC516.25.468	-99.99	
OGLE-LMC-CEP-1981	1	05:26:02.24	-69:18:00.4	16.150	16.767	0.617	1.1516216	0.0000026	6000.13819	0.176	0.172	4.216	0.036	1.828	-99.99	LMC161.2.49904	LMC503.08.42548	-99.99	
OGLE-LMC-CEP-1982	1	05:26:05.72	-68:59:43.0	14.947	-99.99	-99.99	2.5856755	0.0000590	6002.04920	0.215	0.133	4.954	0.025	3.989	-99.99	LMC161.4.39541	LMC503.17.12325D	-99.99	
OGLE-LMC-CEP-1983	F	05:26:06.26	-69:50:24.6	14.287	15.116	0.829	7.2946329	0.0000202	6006.08321	0.320	0.317	5.402	0.068	3.796	LMC_SC4_176264	LMC162.2.75412	LMC516.25.14241	HV12040	
OGLE-LMC-CEP-1984	F	05:26:07.95	-69:51:31.7	14.607	15.401	0.794	5.6016126	0.0000085	6000.19040	0.463	0.393	4.834	0.142	3.271	LMC_SC4_176276	LMC162.2.75332	LMC516.25.106	HV959	
OGLE-LMC-CEP-1985	F	05:26:11.95	-69:19:41.8	16.272	17.039	0.767	2.0256069	0.0000015	6000.32709	0.544	0.503	4.324	0.325	2.568	-99.99	LMC161.2.160	LMC503.08.42501	-99.99	
OGLE-LMC-CEP-1986	F	05:26:15.75	-69:42:04.4	14.604	15.281	0.677	5.0455848	0.0000069	6004.63462	0.466	0.409	4.776	0.165	3.223	LMC_SC4_194399	LMC162.3.81921	LMC516.25.32511	HV2529	
OGLE-LMC-CEP-1987	1	05:26:17.53	-69:40:02.5	14.587	15.238	0.651	3.1912388	0.0000098	6001.29887	0.225	0.079	3.743	0.025	0.130	LMC_SC4_203556	LMC162.4.31	LMC516.25.50104	LMV418 HV2530	secondary period 1.916752 d
OGLE-LMC-CEP-1988	F	05:26:18.04	-69:48:33.4	14.592	15.346	0.754	5.2850125	0.0000081	6001.45322	0.425	0.382	4.756	0.149	3.246	LMC_SC4_295958	LMC162.3.37	LMC516.25.14327	HV2531	
OGLE-LMC-CEP-1989	F1	05:26:18.75	-70:31:55.7	15.335	15.981	0.646	2.9355605	0.0000233	6000.82108	0.267	0.237	4.461	0.068	2.683	-99.99	LMC163.2.35	LMC502.08.49068	HV2534	
OGLE-LMC-CEP-1990	F	05:26:19.05	-69:48:08.7	14.980	15.711	0.731	4.0437168	0.0000054	6001.40677	0.430	0.378	4.629	0.169	2.996	LMC_SC4_296040	LMC162.3.129	LMC516.25.14334	HV961	
OGLE-LMC-CEP-1991	1	05:26:19.61	-69:53:18.5	15.068	15.607	0.539	2.2378169	0.0000040	6000.30622	0.245	0.135	4.671	0.010	3.697	LMC_SC4_287408	LMC162.2.75444	LMC516.25.75	-99.99	
OGLE-LMC-CEP-1992	12	05:26:20.14	-70:23:22.3	17.433	17.833	0.400	0.3470687	0.0000005	6000.13820	0.135	0.214	2.194	0.166	6.022	-99.99	LMC163.3.301	LMC502.17.47544	-99.99	
OGLE-LMC-CEP-1993	F	05:26:20.95	-71:09:32.0	15.437	16.166	0.729	3.0737884	0.0000044	6002.22717	0.403	0.411	4.505	0.195	2.769	-99.99	LMC164.2.19	LMC515.16.15196	-99.99	
OGLE-LMC-CEP-1994	F	05:26:22.57	-69:36:07.4	13.970	-99.99	-99.99	7.7543064	0.0004450	6000.11073	0.530	0.312	5.111	0.204	3.259	LMC_SC4_331610	LMC162.4.75727	LMC503.08.811D	-99.99	
OGLE-LMC-CEP-1995	F	05:26:23.40	-71:02:18.7	15.433	16.172	0.739	3.1615620	0.0000087	6001.06093	0.254	0.322	4.529	0.106	2.804	-99.99	LMC164.2.21486	LMC515.25.4876	-99.99	
OGLE-LMC-CEP-1996	1	05:26:23.52	-69:27:01.4	14.459	15.135	0.676	3.8952996	0.0000202	6002.00959	0.208	0.161	3.772	0.061	0.748	LMC_SC4_346169	LMC161.1.53693	LMC503.08.13583	-99.99	
OGLE-LMC-CEP-1997	1	05:26:25.48	-69:53:20.6	14.484	15.071	0.587	3.2077008	0.0000116	6000.99205	0.112	0.033	4.128	0.000	-99.99	LMC_SC4_287407	LMC162.2.75350	LMC516.25.73	-99.99	
OGLE-LMC-CEP-1998	F	05:26:28.87	-69:51:20.0	15.286	15.951	0.665	3.0866896	0.0000060	6001.08540	0.542	0.436	4.479	0.242	2.700	LMC_SC4_296047	LMC162.2.75463	LMC516.25.109	-99.99	
OGLE-LMC-CEP-1999	F	05:26:29.02	-69:44:18.0	14.891	15.574	0.683	4.1558659	0.0000057	6001.90310	0.450	0.376	4.596	0.167	2.926	LMC_SC4_314629	LMC162.3.82031	LMC516.25.32470	HV962	
OGLE-LMC-CEP-2000	F	05:26:30.82	-70:58:26.1	14.925	15.674	0.749	4.6902177	0.0000084	6002.37372	0.468	0.426	4.863	0.184	3.392	-99.99	LMC164.3.13	LMC515.25.10924	HV5840	
OGLE-LMC-CEP-2001	F	05:26:31.77	-69:50:26.9	14.937	15.631	0.694	4.1332857	0.0000077	6002.95856	0.473	0.394	4.617	0.183	2.975	LMC_SC4_296000	LMC162.3.153	LMC516.25.14289	-99.99	
OGLE-LMC-CEP-2002	1	05:26:33.39	-70:06:56.1	15.444	16.297	0.853	2.1844357	0.0000092	6000.81606	0.223	0.091	4.825	0.000	-99.99	LMC_SC4_257661	LMC162.1.198	LMC516.15.68517	-99.99	
OGLE-LMC-CEP-2003	F	05:26:36.13	-69:49:18.3	15.172	-99.99	-99.99	3.5455832	0.0000323	6000.86906	0.373	0.380	4.598	0.165	3.086	LMC_SC4_296023	LMC162.3.167	LMC516.24.1369D	-99.99	
OGLE-LMC-CEP-2004	F	05:26:38.07	-70:09:01.5	15.429	16.177	0.748	3.1323301	0.0000046	6000.10941	0.376	0.410	4.565	0.196	2.900	LMC_SC4_257644	LMC163.4.69441	LMC516.15.56584	-99.99	
OGLE-LMC-CEP-2005	1	05:26:40.46	-71:54:25.5	14.581	15.301	0.720	3.8271687	0.0000268	6002.05370	0.239	0.209	4.253	0.086	1.676	-99.99	LMC165.1.16	LMC501.08.20210	-99.99	
OGLE-LMC-CEP-2006	1	05:26:44.42	-70:19:29.1	14.838	15.476	0.638	3.1428858	0.0000115	6001.71451	0.233	0.109	3.478	0.058	0.134	-99.99	LMC163.3.56551	LMC516.07.58769	HV5841	
OGLE-LMC-CEP-2007	F	05:26:44.57	-69:48:04.6	14.624	15.452	0.828	5.9934001	0.0000546	6001.65741	0.099	0.126	5.113	0.000	-99.99	LMC_SC4_305701	LMC162.3.21740	LMC516.24.76630	-99.99	
OGLE-LMC-CEP-2008	F	05:26:44.67	-69:48:09.6	14.184	14.931	0.747	7.5190000	0.0000565	6006.37950	0.210	0.264	5.459	0.024	3.664	LMC_SC4_295966	LMC162.3.21741	LMC516.24.76555	-99.99	
OGLE-LMC-CEP-2009	12	05:26:46.51	-71:24:01.3	17.050	18.011	0.961	0.9493501	0.0000035	6000.93423	0.208	0.189	4.146	0.041	2.013	-99.99	LMC165.4.123	LMC515.16.116	-99.99	
OGLE-LMC-CEP-2010	12	05:26:47.23	-71:16:51.6	16.951	17.512	0.561	0.6007562	0.0000013	6000.54140	0.207	0.193	3.234	0.125	1.007	-99.99	LMC164.1.135	LMC515.16.9845	-99.99	
OGLE-LMC-CEP-2011	1	05:26:48.75	-69:51:33.7	14.314	14.970	0.656	4.1658231	0.0000363	6003.36578	0.215	0.235	4.154	0.075	1.655	LMC_SC4_295932	LMC162.2.95453	LMC516.24.60262	LMV1161 HV12044	secondary period 2.631025 d
OGLE-LMC-CEP-2012	F	05:26:49.99	-69:45:52.8	14.123	14.913	0.790	7.4580576	0.0000228	6007.23089	0.312	0.342	5.114	0.070	3.573	LMC_SC4_305691	LMC162.3.21752	LMC516.24.95798	-99.99	
OGLE-LMC-CEP-2013	F	05:26:52.26	-70:20:22.0	15.040	15.717	0.677	3.9314509	0.0000053	6000.89382	0.477	0.392	4.587	0.187	2.942	-99.99	LMC163.3.56625	LMC516.07.58758	HV2541	
OGLE-LMC-CEP-2014	F	05:26:52.31	-70:08:28.7	15.579	16.312	0.733	2.7065429	0.0000027	6000.62822	0.435	0.464	4.483	0.236	2.769	LMC_SC4_257687	LMC163.4.86684	LMC516.15.68578	HV12045	
OGLE-LMC-CEP-2015	F	05:26:53.56	-68:24:46.7	14.151	14.841	0.690	6.3696093	0.0000126	6003.54310	0.538	0.394	4.745	0.142	2.756	-99.99	LMC160.4.27250	LMC517.24.37433	HV2536	
OGLE-LMC-CEP-2016	1	05:26:54.30	-68:16:13.3	18.184	18.786	0.602	0.3439589	0.0000012	6000.12075	0.101	0.110	1.818	0.000	-99.99	-99.99	LMC159.1.15149	LMC517.32.15909	-99.99	
OGLE-LMC-CEP-2017	F	05:26:55.48	-70:01:04.0	14.585	15.297	0.712	4.9423815	0.0000056	6004.78195	0.527	0.426	4.576	0.199	2.905	LMC_SC4_271225	LMC162.1.75930	LMC516.15.83339	HV2539	
OGLE-LMC-CEP-2018	F	05:26:55.83	-70:04:47.3	14.325	15.178	0.853	7.1714405	0.0000170	6004.04161	0.460	0.359	5.269	0.158	3.560	LMC_SC4_264185	LMC162.1.14853	LMC516.15.68489	HV2542	
OGLE-LMC-CEP-2019	F	05:26:55.90	-69:58:48.8	12.631	13.603	0.972	28.1003147	0.0002922	6024.57963	0.715	0.383	5.073	0.234	3.736	LMC_SC4_271200	-99.99	LMC516.15.99309	HV2540	
OGLE-LMC-CEP-2020	12	05:26:57.43	-68:01:04.8	16.282	16.833	0.551	1.0165652	0.0000044	6000.48011	0.268	0.235	4.301	0.045	2.059	-99.99	LMC159.3.14413	LMC518.07.23	-99.99	
OGLE-LMC-CEP-2021	F	05:26:58.38	-70:15:48.9	15.046	15.817	0.771	4.1578843	0.0000067	6003.34905	0.400	0.381	4.676	0.168	3.100	LMC_SC4_245640	LMC163.4.17036	LMC516.07.70495	-99.99	
OGLE-LMC-CEP-2022	F	05:26:59.46	-69:51:10.5	14.355	15.050	0.695	5.8833728	0.0000094	6002.29169	0.533	0.412	4.840	0.153	3.154	LMC_SC4_417848	LMC162.2.95460	LMC516.24.60266	HV965	
OGLE-LMC-CEP-2023	F	05:27:00.56	-71:38:35.7	13.001	13.782	0.781	16.2257613	0.0001869	6004.04930	0.663	0.251	4.781	0.181	2.048	-99.99	LMC165.2.19817	LMC515.07.24933	HV2549	
OGLE-LMC-CEP-2024	1	05:27:00.75	-69:47:46.7	16.892	17.435	0.543	0.6740904	0.0000015	6000.59852	0.116	0.123	3.189	0.000	-99.99	LMC_SC4_427313	LMC162.3.22349	LMC516.24.77173	-99.99	
OGLE-LMC-CEP-2025	12	05:27:01.19	-71:00:20.7	16.807	-99.99	-99.99	0.7109426	0.0000026	6000.14241	0.242	0.265	3.704	0.144	1.815	-99.99	LMC164.3.173	LMC515.25.589D	-99.99	
OGLE-LMC-CEP-2026	1	05:27:02.97	-70:28:15.4	14.887	15.361	0.474	2.2546345	0.0000067	6001.91536	0.117	0.065	4.589	0.000	-99.99	-99.99	LMC163.2.56381	LMC502.17.22	-99.99	
OGLE-LMC-CEP-2027	F	05:27:03.54	-70:01:34.0	14.915	15.657	0.742	4.4756663	0.0000104	6004.35764	0.286	0.261	4.638	0.082	2.902	LMC_SC4_391242	LMC162.1.75948	LMC516.15.83335	HV12046	
OGLE-LMC-CEP-2028	F	05:27:04.99	-69:50:44.5	14.034	14.776	0.742	8.0743421	0.0000169	6005.24211	0.485	0.247	5.477	0.212	4.284	LMC_SC4_417853	LMC162.2.95467	LMC516.24.76525	HV968	
OGLE-LMC-CEP-2029	F1	05:27:05.85	-70:19:36.0	15.398	16.091	0.693	2.8493026	0.0000221	6002.64635	0.348	0.284	4.464	0.091	2.639	-99.99	LMC163.3.71667	LMC516.07.58768	HV967	
OGLE-LMC-CEP-2030	F	05:27:07.76	-68:29:42.9	13.498	14.456	0.958	13.8701546	0.0001097	6009.75044	0.312	0.081	3.007	0.116	1.086	-99.99	LMC160.4.11070	LMC517.24.10678	HV2538	
OGLE-LMC-CEP-2031	F	05:27:10.80	-70:14:02.9	15.149	15.793	0.644	3.1659747	0.0000060	6000.74081	0.537	0.396	4.342	0.198	2.445	LMC_SC4_363465	LMC163.4.17065	LMC502.17.28619	HV2545	
OGLE-LMC-CEP-2032	1	05:27:11.33	-69:56:13.5	14.860	15.454	0.594	2.5963225	0.0000059	6001.35808	0.155	0.059	4.475	0.000	-99.99	LMC_SC4_399434	LMC162.2.19035	LMC516.15.99401	-99.99	
OGLE-LMC-CEP-2033	1	05:27:11.71	-69:40:45.0	15.880	16.594	0.714	1.4635132	0.0000086	6000.64333	0.166	0.147	4.436	0.043	3.587	LMC_SC4_444352	LMC162.4.21255	LMC516.24.113687	-99.99	
OGLE-LMC-CEP-2034	1	05:27:11.94	-69:18:17.9	15.001	15.568	0.567	2.1535833	0.0000199	6001.60569	0.056	0.000	-99.99	0.000	-99.99	-99.99	LMC161.2.61603	LMC516.32.73347	-99.99	
OGLE-LMC-CEP-2035	1	05:27:14.12	-71:49:47.2	16.039	16.654	0.615	1.3055062	0.0000028	6000.18169	0.246	0.205	4.543	0.048	2.412	-99.99	LMC165.1.19202	LMC501.08.7719	-99.99	
